Dates,State,Consumption_MU
2019-01-01,Andhra Pradesh,155.6
2019-01-02,Andhra Pradesh,159.9
2019-01-03,Andhra Pradesh,163.1
2019-01-04,Andhra Pradesh,165.9
2019-01-05,Andhra Pradesh,165.5
2019-01-06,Andhra Pradesh,162.6
2019-01-07,Andhra Pradesh,163.5
2019-01-08,Andhra Pradesh,163.3
2019-01-09,Andhra Pradesh,161.2
2019-01-10,Andhra Pradesh,164.6
2019-01-11,Andhra Pradesh,165.0
2019-01-12,Andhra Pradesh,162.8
2019-01-13,Andhra Pradesh,161.7
2019-01-14,Andhra Pradesh,159.1
2019-01-15,Andhra Pradesh,151.4
2019-01-16,Andhra Pradesh,151.2
2019-01-17,Andhra Pradesh,157.0
2019-01-18,Andhra Pradesh,163.4
2019-01-19,Andhra Pradesh,165.2
2019-01-20,Andhra Pradesh,163.4
2019-01-21,Andhra Pradesh,165.2
2019-01-22,Andhra Pradesh,166.6
2019-01-23,Andhra Pradesh,167.5
2019-01-24,Andhra Pradesh,169.7
2019-01-25,Andhra Pradesh,169.7
2019-01-26,Andhra Pradesh,168.6
2019-01-27,Andhra Pradesh,162.7
2019-01-28,Andhra Pradesh,149.2
2019-01-29,Andhra Pradesh,148.1
2019-01-30,Andhra Pradesh,151.5
2019-01-31,Andhra Pradesh,150.5
2019-02-01,Andhra Pradesh,159.5
2019-02-02,Andhra Pradesh,160.8
2019-02-03,Andhra Pradesh,159.1
2019-02-04,Andhra Pradesh,164.0
2019-02-05,Andhra Pradesh,166.7
2019-02-06,Andhra Pradesh,165.9
2019-02-07,Andhra Pradesh,169.2
2019-02-08,Andhra Pradesh,172.9
2019-02-09,Andhra Pradesh,172.6
2019-02-10,Andhra Pradesh,167.2
2019-02-11,Andhra Pradesh,172.2
2019-02-12,Andhra Pradesh,174.8
2019-02-13,Andhra Pradesh,174.5
2019-02-14,Andhra Pradesh,174.2
2019-02-15,Andhra Pradesh,175.9
2019-02-16,Andhra Pradesh,178.1
2019-02-17,Andhra Pradesh,184.3
2019-02-18,Andhra Pradesh,190.1
2019-02-19,Andhra Pradesh,192.8
2019-02-20,Andhra Pradesh,187.7
2019-02-21,Andhra Pradesh,193.6
2019-02-22,Andhra Pradesh,192.6
2019-02-23,Andhra Pradesh,191.9
2019-02-24,Andhra Pradesh,190.2
2019-02-25,Andhra Pradesh,190.1
2019-02-26,Andhra Pradesh,194.2
2019-02-27,Andhra Pradesh,199.6
2019-02-28,Andhra Pradesh,196.8
2019-03-01,Andhra Pradesh,192.9
2019-03-02,Andhra Pradesh,190.8
2019-03-03,Andhra Pradesh,189.7
2019-03-04,Andhra Pradesh,190.0
2019-03-05,Andhra Pradesh,192.6
2019-03-06,Andhra Pradesh,193.0
2019-03-07,Andhra Pradesh,201.0
2019-03-08,Andhra Pradesh,199.4
2019-03-09,Andhra Pradesh,197.4
2019-03-10,Andhra Pradesh,195.0
2019-03-11,Andhra Pradesh,196.6
2019-03-12,Andhra Pradesh,199.2
2019-03-13,Andhra Pradesh,198.1
2019-03-14,Andhra Pradesh,197.4
2019-03-15,Andhra Pradesh,197.4
2019-03-16,Andhra Pradesh,196.6
2019-03-17,Andhra Pradesh,192.0
2019-03-18,Andhra Pradesh,192.4
2019-03-19,Andhra Pradesh,196.9
2019-03-20,Andhra Pradesh,197.8
2019-03-21,Andhra Pradesh,193.1
2019-03-22,Andhra Pradesh,196.4
2019-03-23,Andhra Pradesh,200.7
2019-03-24,Andhra Pradesh,195.8
2019-03-25,Andhra Pradesh,197.7
2019-03-26,Andhra Pradesh,197.6
2019-03-27,Andhra Pradesh,198.1
2019-03-28,Andhra Pradesh,198.8
2019-03-29,Andhra Pradesh,199.6
2019-03-30,Andhra Pradesh,200.4
2019-03-31,Andhra Pradesh,196.7
2019-04-01,Andhra Pradesh,195.1
2019-04-02,Andhra Pradesh,195.8
2019-04-03,Andhra Pradesh,196.5
2019-04-04,Andhra Pradesh,197.6
2019-04-05,Andhra Pradesh,197.3
2019-04-06,Andhra Pradesh,186.1
2019-04-07,Andhra Pradesh,181.9
2019-04-08,Andhra Pradesh,191.4
2019-04-09,Andhra Pradesh,194.1
2019-04-10,Andhra Pradesh,195.9
2019-04-11,Andhra Pradesh,175.0
